OBJECTID,Class_Name,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP
205,Deciduous Forest to Low Intensity Developed,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,15,2,0,1,11,0,0,0,0,0,0,0,0,0,0
206,Deciduous Forest to Developed Open Space,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
207,Deciduous Forest to Cultivated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Deciduous Forest to Pasture/Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Deciduous Forest to Grassland,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,6,0,0,181,0,0,0,0,0,0,0
210,Deciduous Forest to Deciduous Forest,4546,87,2191,49,41,477,188,0,10,62,3420,140,25,0,3,144,12,76,370,344,117,144,2,0,0,2919,341,805,40,371,1715,386,97,64,50,946,93,3,15417,26,280,158,815,10,1636,19
211,Deciduous Forest to Evergreen Forest,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Deciduous Forest to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Deciduous Forest to Scrub/Shrub,0,0,0,0,1,0,9,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,0,0,2,0,0,0,53,0,0,0,0,0,0,0
214,Deciduous Forest to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Deciduous Forest to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,Deciduous Forest to Palustrine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Deciduous Forest to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Deciduous Forest to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Deciduous Forest to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Deciduous Forest to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Deciduous Forest to Bare Land,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
222,Deciduous Forest to Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Deciduous Forest to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Deciduous Forest to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Deciduous Forest to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Deciduous Forest to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Evergreen Forest to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Evergreen Forest to High Intensity Developed,231,0,2,0,62,0,42,0,0,2,1,99,2,0,0,90,5,1,8,193,33,0,0,0,0,0,0,71,0,64,0,188,116,0,3,109,0,0,0,0,0,5,0,0,0,2
229,Evergreen Forest to Medium Intensity Developed,688,0,2,0,321,0,355,0,0,10,326,295,1,0,0,683,6,0,16,1351,182,0,0,0,0,0,0,375,2,30,0,809,704,0,52,507,0,0,56,0,1,4,0,0,0,5
230,Evergreen Forest to Low Intensity Developed,762,0,1,5,332,0,526,0,0,5,64,587,5,0,0,750,2,0,38,1200,93,0,0,0,0,0,0,851,0,32,0,1161,689,0,89,761,1,0,98,2,1,11,1,0,0,11
231,Evergreen Forest to Developed Open Space,666,0,0,1,321,0,533,0,0,3,298,185,3,0,0,219,4,1,18,401,26,0,0,0,0,0,0,352,1,5,0,1083,169,0,141,213,8,0,21,0,0,5,0,0,0,58
232,Evergreen Forest to Cultivated,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Evergreen Forest to Pasture/Hay,0,0,0,0,47,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,45,0,0,0,0,0,0,0,0,0,0,0
234,Evergreen Forest to Grassland,390,282,1,2,204,0,1379,0,2247,78,384,1201,2,0,0,5995,23,166,279,567,6,0,0,0,0,0,0,4093,0,45,0,645,1216,1,586,1929,26,0,3305,0,2,10,1,0,0,22
235,Evergreen Forest to Deciduous Forest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Evergreen Forest to Evergreen Forest,76403,35776,19944,2922,50356,1407,93696,49,50040,11835,99344,82922,4038,1,211,139922,3090,4575,16081,69950,15866,21708,38,73,21,14371,10722,111866,4266,28717,29155,24538,129728,10271,36914,56270,19959,257,127862,4839,12241,13121,20675,454,19742,1336
237,Evergreen Forest to Mixed Forest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Evergreen Forest to Scrub/Shrub,9,26,0,0,2405,0,1979,0,1950,29,50,370,1,0,0,3774,2,12,14,197,0,0,0,0,0,0,0,1749,0,2,0,2160,564,0,3150,509,3,0,2428,0,1,0,0,0,0,3
239,Evergreen Forest to Palustrine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
