OBJECTID,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAY,TXBP,TXFR,TXGA,TXHO,TXMM,TXOC,TXOR,TXSB,TXSR,LULC
53,Lakes ,0,4232,6338,5615,1422,1195,1751,708,0,1240,0,940,6393,2008,726,0,0,380,1509,0,1519,2743,473,8677,0,251,1399,1339,115,15807,437,2981,13586,3820,0,127,762,715,1237,457,1011,483,4964,225,5176,6847,521,480,2358,42044,20547,53003,94742,130344,193259,56822,1210,1794,8599,67,11006,4215,280,2433,8135,40053,19565,62786,
54,Reservoirs ,0,0,411,1218,97,2091,646,2504,0,337,0,0,1469,256,1483,2936,0,0,853,3935,1585,0,372,2024,4515,0,0,0,107,17188,661,829,1644,760,359,1583,334,768,812,1800,74,2552,3146,0,0,791,758,0,0,100,2195,0,10406,2737,104,1829,748,715,212,4582,76,4113,5768,611,487,4169,0,8315,
55,Bays and Estuaries,334261,205366,40994,11803,215165,48685,85048,147527,298672,146126,310349,52404,161822,11586,0,76631,0,141448,0,0,135294,47454,0,0,111120,366355,217736,265224,0,109833,0,12022,103345,5124,264406,0,147623,176953,0,60664,104228,25842,135669,38797,48575,29527,126913,17353,0,0,122486,0,49415,0,0,111650,33545,25572,103533,44438,0,205916,52816,80287,0,2100,0,0,
56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,Forested Wetland ,25934,1313,14301,76486,11596,32299,37659,29863,23340,9993,185468,118038,10120,82433,126090,5352,70,1611,116022,6038,76409,30247,17927,30337,8787,14662,24388,10747,103,51941,34043,44390,39831,60641,6290,87098,44426,32131,44137,40705,43059,29016,19707,7439,20065,25773,181647,7135,31400,0,1066,0,37239,29440,0,1757,12393,1427,0,0,0,0,370,0,11901,42121,1412,160,
63,Nonforested Wetland ,32478,10326,8233,27232,30558,2294,9140,6412,13187,189,1796,62138,46476,68292,6416,0,0,0,1079,22049,6299,2215,109988,14180,7421,3238,0,9184,407884,61153,30203,5101,7775,21660,8137,6568,16620,4192,44018,16940,2117,71349,1158,5147,1602,2030,51218,6567,16156,326596,120320,310185,148994,97554,254849,187354,60707,78553,0,235802,180257,83913,19888,76610,97386,86180,109690,290820,
64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,Dry salt flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,Beaches ,1603,4360,2666,640,6064,0,325,3268,167,5865,1030,0,0,0,370,0,356,3891,0,0,3597,0,5698,0,0,0,0,0,0,3928,2157,0,1344,5740,86,5416,329,4715,6830,0,1652,0,2114,2305,513,0,927,3091,0,276,0,867,0,0,0,0,250,680,0,0,1727,1056,0,2733,0,0,862,0,
74,Sandy areas not beaches ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,0,0,0,0,1015,1639,0,0,0,0,914,0,0,0,0,0,0,0,0,0,529,0,0,5280,0,0,0,5014,
75,Bare exposed rock ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,
